Date, Hour, GEOTHERMAL, BIOMASS, BIOGAS, SMALL HYDRO, WIND TOTAL, SOLAR PV, SOLAR THERMAL,
2016-01-01, 1, 1099, 246, 193, 134, 1141, 0, 0, 
2016-01-01, 2, 1099, 245, 192, 134, 1108, 0, 0, 
2016-01-01, 3, 1098, 245, 192, 136, 1051, 0, 0, 
2016-01-01, 4, 1099, 244, 192, 136, 1081, 0, 0, 
2016-01-01, 5, 1099, 240, 192, 143, 1150, 0, 0, 
2016-01-01, 6, 1098, 240, 191, 148, 1074, 0, 0, 
2016-01-01, 7, 1096, 243, 187, 194, 1023, 0, 0, 
2016-01-01, 8, 1094, 243, 186, 194, 847, 723, 11, 
2016-01-01, 9, 1093, 243, 191, 165, 682, 2838, 166, 
2016-01-01, 10, 1094, 241, 191, 154, 747, 4330, 401, 
2016-01-01, 11, 1094, 243, 191, 106, 768, 4781, 488, 
2016-01-01, 12, 1096, 242, 191, 105, 614, 4898, 463, 
2016-01-01, 13, 1098, 245, 192, 106, 486, 4981, 451, 
2016-01-01, 14, 1099, 250, 191, 107, 409, 4719, 455, 
2016-01-01, 15, 1099, 254, 190, 112, 298, 3895, 463, 
2016-01-01, 16, 1100, 250, 190, 190, 226, 2082, 343, 
2016-01-01, 17, 1099, 253, 193, 243, 179, 0, 23, 
2016-01-01, 18, 1097, 254, 192, 280, 165, 0, 0, 
2016-01-01, 19, 1096, 253, 193, 281, 187, 0, 0, 
2016-01-01, 20, 1094, 253, 193, 246, 224, 0, 0, 
2016-01-01, 21, 1094, 254, 194, 239, 219, 0, 0, 
2016-01-01, 22, 1096, 254, 192, 198, 190, 0, 0, 
2016-01-01, 23, 1096, 251, 190, 156, 191, 0, 0, 
2016-01-01, 24, 1096, 250, 190, 156, 178, 0, 0, 
2016-01-02, 1, 1096, 253, 195, 147, 149, 0, 0, 
2016-01-02, 2, 1096, 249, 194, 148, 154, 0, 0, 
2016-01-02, 3, 1097, 248, 193, 147, 194, 0, 0, 
2016-01-02, 4, 1097, 248, 193, 146, 253, 0, 0, 
2016-01-02, 5, 1095, 249, 194, 146, 238, 0, 0, 
2016-01-02, 6, 1094, 251, 194, 179, 276, 0, 0, 
2016-01-02, 7, 1093, 254, 191, 225, 367, 0, 0, 
