Date, Hour, RENEWABLES, NUCLEAR, THERMAL, IMPORTS, HYDRO,
2016-01-01, 1, 2813, 2282, 10831, 6470, 973, 
2016-01-01, 2, 2779, 2281, 10074, 6410, 1054, 
2016-01-01, 3, 2721, 2281, 9689, 6262, 1052, 
2016-01-01, 4, 2751, 2281, 9664, 5942, 1054, 
2016-01-01, 5, 2823, 2281, 9351, 6119, 1151, 
2016-01-01, 6, 2751, 2282, 9896, 5938, 1278, 
2016-01-01, 7, 2743, 2281, 9627, 6608, 1394, 
2016-01-01, 8, 3298, 2281, 9654, 6164, 1325, 
2016-01-01, 9, 5378, 2281, 8824, 5224, 1075, 
2016-01-01, 10, 7159, 2279, 7584, 4963, 979, 
2016-01-01, 11, 7671, 2279, 7545, 4712, 852, 
2016-01-01, 12, 7610, 2278, 7626, 4368, 784, 
2016-01-01, 13, 7558, 2277, 7681, 3980, 818, 
2016-01-01, 14, 7230, 2276, 7737, 3964, 827, 
2016-01-01, 15, 6310, 2276, 8147, 4532, 894, 
2016-01-01, 16, 4381, 2275, 9042, 5250, 1203, 
2016-01-01, 17, 1990, 2275, 11231, 6438, 1357, 
2016-01-01, 18, 1988, 2276, 13133, 7213, 1894, 
2016-01-01, 19, 2010, 2275, 13138, 7593, 2143, 
2016-01-01, 20, 2011, 2275, 13179, 7518, 1970, 
2016-01-01, 21, 1999, 2276, 13218, 7205, 1814, 
2016-01-01, 22, 1929, 2276, 12614, 7314, 1493, 
2016-01-01, 23, 1884, 2277, 12057, 6909, 1322, 
2016-01-01, 24, 1871, 2278, 11556, 6299, 1182, 
2016-01-02, 1, 1841, 2277, 10916, 6125, 1056, 
2016-01-02, 2, 1842, 2277, 10100, 6116, 1058, 
2016-01-02, 3, 1878, 2277, 9536, 6173, 1060, 
2016-01-02, 4, 1938, 2277, 9367, 6081, 1076, 
2016-01-02, 5, 1922, 2278, 9741, 5902, 1102, 
2016-01-02, 6, 1994, 2277, 9934, 6007, 1315, 
2016-01-02, 7, 2130, 2277, 9942, 6627, 1384, 
2016-01-02, 8, 2700, 2278, 9947, 6678, 1422, 
2016-01-02, 9, 4108, 2277, 9763, 6316, 1204, 
2016-01-02, 10, 5181, 2277, 9791, 5670, 1140, 
2016-01-02, 11, 5580, 2277, 9696, 5221, 1021, 
2016-01-02, 12, 6022, 2277, 9045, 4962, 970, 
2016-01-02, 13, 6063, 2276, 8602, 5058, 983, 
2016-01-02, 14, 5613, 2277, 9225, 4919, 972, 
2016-01-02, 15, 5316, 2277, 9031, 5366, 1009, 
2016-01-02, 16, 3539, 2275, 10001, 5858, 1285, 
2016-01-02, 17, 2121, 2276, 11072, 7044, 1414, 
2016-01-02, 18, 2169, 2277, 12596, 7943, 1858, 
2016-01-02, 19, 2280, 2276, 12491, 8142, 2164, 
2016-01-02, 20, 2255, 2276, 12780, 7833, 1925, 
2016-01-02, 21, 2253, 2276, 12820, 7564, 1653, 
2016-01-02, 22, 2144, 2276, 12188, 7487, 1542, 
2016-01-02, 23, 2038, 2275, 11990, 6797, 1289, 
2016-01-02, 24, 2043, 2276, 11412, 6345, 1086, 
2016-01-03, 1, 2014, 2275, 10290, 6404, 1025, 
2016-01-03, 2, 2055, 2276, 9701, 6103, 918, 
2016-01-03, 3, 2020, 2275, 8939, 6313, 939, 
2016-01-03, 4, 2027, 2275, 8851, 6148, 937, 
